 number of packets   Find time Hesh-divide   No founded records Hesh-divide   Find time Hesh-shift   No founded records Hesh_shift
        20                  88016                         200                  344156                   200
        40                  40797                         200                  263328                   200
        60                  28047                         200                  363343                   200
        80                  23047                         200                  344203                   200
        100                  542547                         200                  126781                   200
        120                  15875                         200                  118735                   200
        140                  15516                         200                  261234                   200
        160                  13422                         200                  211860                   200
        180                  12157                         200                  186015                   200
        200                  12265                         200                  223938                   200
        400                  7875                         200                  435469                   200
        600                  6844                         200                  529328                   200
        800                  6406                         200                  567422                   200
        1000                  6078                         200                  14454                   200
        1200                  5813                         200                  22109                   200
        1400                  5718                         200                  52297                   200
        1600                  5469                         200                  371719                   200
        1800                  5422                         200                  391484                   200
        2000                  5343                         200                  40016                   200
        4000                  4891                         200                  901266                   200
        6000                  4844                         200                  653515                   200
        8000                  4782                         200                  660078                   200
        10000                  142282                         200                  1530687                   200
        12000                  4812                         200                  416969                   200
        14000                  4984                         200                  430156                   200
        16000                  4984                         200                  497266                   200
        18000                  5031                         200                  583125                   200
        20000                  6015                         200                  1070313                   200
        40000                  5313                         200                  1159594                   200
        60000                  5484                         200                  1398094                   200
        80000                  5281                         200                  1382750                   200
        100000                  5594                         200                  130297                   200
        120000                  5922                         200                  134141                   200
        140000                  4609                         200                  266782                   200
        160000                  6235                         200                  992609                   200
        180000                  5531                         200                  767829                   200
        200000                  5703                         200                  460765                   200
