 Number of packets   Find time Hesh-divide(ms)   No founded records Hesh-divide   Find time Hesh-shift   No founded records Hesh_shift(ms)
        20                  96656                         200                      142203                   200
        40                  43015                         200                      56297                   200
        60                  29532                         200                      94453                   200
        80                  23985                         200                      49078                   200
        100                  545547                         200                      19141                   200
        120                  16563                         200                      17359                   200
        140                  15954                         200                      25125                   200
        160                  13766                         200                      15750                   200
        180                  12390                         200                      13735                   200
        200                  12391                         200                      17422                   200
        400                  8110                         200                      18062                   200
        600                  6812                         200                      21813                   200
        800                  6406                         200                      116563                   200
        1000                  6093                         200                      7485                   200
        1200                  5765                         200                      9063                   200
        1400                  5719                         200                      141093                   200
        1600                  5453                         200                      323281                   200
        1800                  5438                         200                      448062                   200
        2000                  5328                         200                      539735                   200
        4000                  4875                         200                      1033281                   200
        6000                  4797                         200                      1038765                   200
        8000                  4703                         200                      1498016                   200
        10000                  142172                         200                      1531484                   200
        12000                  4782                         200                      115593                   200
        14000                  4922                         200                      107672                   200
        16000                  4937                         200                      109860                   200
        18000                  4969                         200                      106906                   200
        20000                  5985                         200                      959968                   200
        40000                  5313                         200                      508343                   200
        60000                  5484                         200                      333610                   200
        80000                  5312                         200                      409094                   200
        100000                  5578                         200                      129578                   200
        120000                  5953                         200                      133813                   200
        140000                  4625                         200                      456015                   200
        160000                  6218                         200                      999766                   200
        180000                  5500                         200                      720437                   200
        200000                  5640                         200                      999610                   200
